attribute_category,attribute_data_type,attribute_field_description,attribute_filterable,attribute_name,attribute_repeated,attribute_selectable,attribute_selectable_with,attribute_sortable,attribute_type_url
ATTRIBUTE,"ELIGIBLE,LIMITED,NOT_ELIGIBLE,PAUSED,PENDING,REMOVED,UNKNOWN,UNSPECIFIED","<td>Output only. Provides the PrimaryStatus of this asset link. Primary status is meant essentially to differentiate between the plain ""status"" field, which has advertiser set values of enabled, paused, or removed. The primary status takes into account other signals (for assets its mainly policy and quality approvals) to come up with a more comprehensive status to indicate its serving state.</td>",True,customer_asset.primary_status,False,True,None,True,google.ads.googleads.v14.enums.AssetLinkPrimaryStatusEnum.AssetLinkPrimaryStatus
ATTRIBUTE,MESSAGE,<td>Output only. Provides the details of the primary status and its associated reasons.</td>,False,customer_asset.primary_status_details,True,True,None,False,google.ads.googleads.v14.common.AssetLinkPrimaryStatusDetails
ATTRIBUTE,RESOURCE_NAME,<td>Required. Immutable. The ad group to which the asset is linked.</td>,True,ad_group_asset.ad_group,False,True,None,False,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,<td>Maximum bid limit that can be set by the bid strategy. The limit applies to all keywords managed by the strategy.</td>,True,bidding_strategy.target_spend.cpc_bid_ceiling_micros,False,True,None,True,N/A
ATTRIBUTE,INT64,"<td>The spend target under which to maximize clicks. A TargetSpend bidder will attempt to spend the smaller of this value or the natural throttling spend amount. If not specified, the budget is used as the spend target. This field is deprecated and should no longer be used. See <a href=""https://ads-developers.googleblog.com/2020/05/reminder-about-sunset-creation-of.html"">https://ads-developers.googleblog.com/2020/05/reminder-about-sunset-creation-of.html</a> for details.</td>",True,bidding_strategy.target_spend.target_spend_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
ATTRIBUTE,INT64,"<td>Output only. Value will be same as that of the CPC (cost-per-click) bid value when the bidding strategy is one of manual cpc, enhanced cpc, page one promoted or target outrank share, otherwise the value will be null.</td>",True,ad_group.effective_cpc_bid_micros,False,True,None,True,N/A
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
,,,,,,,None,,
