field_filterable,field_repeated,field_selectable,field_sortable,field_selectable_with,field_field_description,field_category,field_data_type,field_name,field_type_url
True,True,True,False,[B@89b6dcf,"Output only. The campaigns targeted by this recommendation. This field will be set for the following recommendation types: CAMPAIGN_BUDGET, FORECASTING_CAMPAIGN_BUDGET, MARGINAL_ROI_CAMPAIGN_BUDGET and MOVE_UNUSED_BUDGET",ATTRIBUTE,RESOURCE_NAME,recommendation.campaigns,N/A
True,False,True,False,[B@1fabfedd,Output only. Whether the recommendation is dismissed or not.,ATTRIBUTE,BOOLEAN,recommendation.dismissed,N/A
False,False,True,False,[B@66d2257,Output only. The Display Expansion opt-in recommendation.,ATTRIBUTE,MESSAGE,recommendation.display_expansion_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.DisplayExpansionOptInRecommendation
False,False,True,False,[B@4ae52dde,"Output only. Recommendation to enable dynamic image extensions on the account, allowing Google to find the best images from ad landing pages and complement text ads.",ATTRIBUTE,MESSAGE,recommendation.dynamic_image_extension_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.DynamicImageExtensionOptInRecommendation
False,False,True,False,[B@1943c458,Output only. The Enhanced Cost-Per-Click Opt-In recommendation.,ATTRIBUTE,MESSAGE,recommendation.enhanced_cpc_opt_in_recommendation,google.ads.googleads.v15.resources.Recommendation.EnhancedCpcOptInRecommendation
False,False,True,False,[B@595e8cbb,Output only. The forecasting campaign budget recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_campaign_budget_recommendation,google.ads.googleads.v15.resources.Recommendation.CampaignBudgetRecommendation
False,False,True,False,[B@36ce625d,Output only. The forecasting set target CPA recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_set_target_cpa_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetCpaRecommendation
False,False,True,False,[B@55262287,Output only. The forecasting set target ROAS recommendation.,ATTRIBUTE,MESSAGE,recommendation.forecasting_set_target_roas_recommendation,google.ads.googleads.v15.resources.Recommendation.ForecastingSetTargetRoasRecommendation
False,False,True,False,[B@52405d7f,Output only. The impact on account performance as a result of applying the recommendation.,ATTRIBUTE,MESSAGE,recommendation.impact,google.ads.googleads.v15.resources.Recommendation.RecommendationImpact
False,False,True,False,[B@7fd628d8,Output only. The improve Performance Max ad strength recommendation.,ATTRIBUTE,MESSAGE,recommendation.improve_performance_max_ad_strength_recommendation,google.ads.googleads.v15.resources.Recommendation.ImprovePerformanceMaxAdStrengthRecommendation
False,False,True,False,[B@3acf71f5,Output only. The keyword match type recommendation.,ATTRIBUTE,MESSAGE,recommendation.keyword_match_type_recommendation,google.ads.googleads.v15.resources.Recommendation.KeywordMatchTypeRecommendation
False,False,True,False,[B@5e194e31,Output only. The keyword recommendation.,ATTRIBUTE,MESSAGE,recommendation.keyword_recommendation,google.ads.googleads.v15.resources.Recommendation.KeywordRecommendation
False,False,True,False,[B@e624b28,Output only. Recommendation to lower Target ROAS.,ATTRIBUTE,MESSAGE,recommendation.lower_target_roas_recommendation,google.ads.googleads.v15.resources.Recommendation.LowerTargetRoasRecommendation
